zcta5,puma12,pop10,afact
13342,403,165,1
13343,500,1658,1
13345,500,177,1
13346,1500,6735,1
13348,403,1469,1
13350,401,10093,1
13352,401,65,1
13353,200,86,1
13354,401,3264,0.977
13354,402,78,0.023
13355,1500,905,1
13357,401,9619,0.867
13357,403,1477,0.133
13360,200,333,1
13361,401,279,0.339
13361,403,545,0.661
13362,403,60,1
13363,401,2315,1
13364,1500,243,1
13365,401,8906,1
13367,401,21,0.002
13367,500,8809,0.998
13368,500,1118,1
13402,403,19,0.012
13402,1500,1515,0.988
13403,401,21,0.003
13403,402,7351,0.997
13404,500,236,1
13406,401,725,1
13407,401,5005,0.918
13407,403,448,0.082
13408,1500,4280,1
13409,1500,2374,1
13410,1600,241,1
13411,403,1338,0.41
13411,2203,1926,0.59
13413,401,218,0.014
13413,402,15917,0.986
13415,403,77,1
13416,401,2271,1
13417,402,3305,1
13418,1500,255,1
13420,401,1266,1
13421,401,2384,0.169
13421,1500,11741,0.831
13424,402,2725,1
13425,403,1831,0.929
13425,1500,139,0.071
13428,1600,1635,1
13431,401,2069,1
13433,500,1820,1
13435,401,286,1
13436,200,108,1
13437,500,46,0.1
13437,600,414,0.9
13438,401,3789,1
13439,403,3950,1
13440,401,6991,0.163
13440,402,35995,0.837
13441,402,51,1
13450,403,104,1
13452,1600,4629,1
13454,401,826,1
13456,401,148,0.036
13456,402,543,0.13
13456,403,3473,0.834
13459,403,2144,0.965
13459,1600,78,0.035
13460,1500,17,0.004
13460,2203,4412,0.996
13461,401,3083,1
13464,2203,1189,1
13468,403,451,1
13469,401,286,0.338
13469,402,561,0.662
13470,401,124,0.171
13470,1600,601,0.829
13471,401,3489,0.986
13471,402,7,0.002
13471,500,44,0.012
13472,401,310,1
13473,500,766,1
13475,401,28,1
13476,401,2493,0.822
13476,402,539,0.178
13477,401,1220,0.84
13477,402,26,0.018
13477,403,206,0.142
13478,401,2869,0.931
13478,402,214,0.069
13480,403,3455,0.978
13480,1500,77,0.022
13483,401,256,1
13484,1500,176,1
13485,403,235,0.208
13485,1500,785,0.693
13485,2203,112,0.099
13486,401,815,1
13488,403,98,1
13489,401,24,0.036
13489,500,634,0.964
13490,402,1361,1
13491,403,3232,0.888
13491,1500,409,0.112
13492,402,11596,1
13493,600,2070,1
13494,401,314,1
13495,402,2144,1
13501,402,38546,1
13502,401,3919,0.118
13502,402,29338,0.882
13601,500,38158,1
13602,500,3881,1
13603,500,9760,1
13605,500,4777,1
13606,500,2716,1
13607,500,1822,1
13608,100,257,0.15
13608,500,1462,0.85
13612,500,2852,1
13613,100,2726,1
13614,100,357,1
13615,500,1271,1
13616,500,1880,1
13617,100,11299,1
13618,500,1711,1
13619,500,10901,1
13620,500,2197,1
13621,100,650,1
13622,500,2432,1
13623,100,49,1
13624,500,5457,1
13625,100,1868,1
13626,500,2267,1
13628,500,220,1
13630,100,1525,1
13633,100,345,1
13634,500,3984,1
13635,100,1092,1
13636,500,282,1
13637,500,4491,1
13638,500,378,1
13639,100,243,1
13640,500,271,1
13641,500,91,1
13642,100,10029,0.994
13642,500,59,0.006
13643,500,19,1
13646,100,2198,0.994
13646,500,13,0.006
13647,100,69,1
13648,100,998,0.412
13648,500,1426,0.588
13650,500,1391,1
13651,500,127,1
13652,100,1815,1
13654,100,2461,1
13655,100,170,0.048
13655,200,3342,0.952
13656,500,2861,1
13658,100,2357,1
13659,500,593,1
13660,100,1891,1
13661,500,1600,0.972
13661,600,46,0.028
13662,100,16582,1
13664,100,399,1
13665,500,882,1
13666,100,266,1
13667,100,3181,1
13668,100,3329,1
13669,100,16452,1
13670,100,430,1
13672,100,602,1
13673,500,2249,1
13674,500,126,1
13675,500,160,1
13676,100,16646,1
13677,100,93,1
13678,100,211,1
13679,100,152,0.082
13679,500,1701,0.918
13680,100,1244,1
13681,100,897,1
13682,500,877,1
13684,100,1131,1
13685,500,2272,1
13687,100,479,1
13690,100,846,1
13691,500,3176,1
13692,500,27,1
13693,500,503,1
13694,100,1507,1
13695,100,134,1
13696,100,87,1
13697,100,2281,1
13730,2203,2805,1
13731,2203,1162,1
13732,2202,8153,1
13733,403,203,0.039
13733,2203,5013,0.961
13734,2202,2287,1
13736,2202,2036,0.871
13736,2300,302,0.129
13739,2203,953,1
13740,2203,554,1
13743,2202,3806,1
13744,2202,1137,1
13746,2202,2135,0.841
13746,2203,404,0.159
13748,2202,3800,1
13750,2203,1092,1
13751,2203,189,1
13752,2203,782,1
13753,2203,5848,1
13754,2203,3310,1
13755,2203,1228,1
13756,2203,613,1
13757,2203,1045,1
13760,2201,35822,0.809
13760,2202,8442,0.191
13774,2203,201,1
13775,2203,1631,1
13776,403,513,1
13777,2202,727,1
13778,2202,67,0.011
13778,2203,5881,0.989
13780,2203,1045,1
13782,2203,755,1
13783,2203,2670,1
13784,1500,172,1
13786,2203,464,1
13787,2203,3629,1
13788,2203,991,1
13790,2201,16247,0.85
13790,2202,2857,0.15
13794,2202,105,1
13795,2202,3487,0.918
13795,2203,313,0.082
13796,403,1236,1
13797,2202,2250,1
13801,2203,1398,1
13802,2202,718,1
13803,1500,3637,0.915
13803,2202,338,0.085
13804,2203,391,1
13806,2203,205,1
13807,403,1199,1
13808,403,1771,1
13809,403,518,0.341
13809,2203,999,0.659
13810,403,1149,1
13811,2202,4354,1
13812,2202,2348,1
13813,2203,977,1
13815,2203,13999,1
13820,403,20772,0.925
13820,2203,1683,0.075
13825,403,3364,0.977
13825,2203,78,0.023
13826,2203,58,1
13827,2202,11759,1
13830,2203,5042,1
13832,2203,709,1
13833,2202,3330,0.783
13833,2203,925,0.217
13834,403,118,1
13835,1500,328,0.217
13835,2202,1183,0.783
13838,403,119,0.027
13838,2203,4290,0.973
13839,2203,1405,1
13841,1500,62,0.117
13841,2203,467,0.883
13842,2203,695,1
13843,403,871,0.461
13843,2203,1017,0.539
13844,2203,724,1
13845,2202,83,1
13846,2203,305,1
13847,2203,67,1
13849,403,3604,0.792
13849,2203,947,0.208
13850,2201,16601,0.754
13850,2202,5403,0.246
13856,2203,6596,1
13859,403,182,1
13860,2203,94,1
13861,403,432,1
13862,1500,27,0.006
13862,2202,4162,0.994
13863,1500,688,1
13864,2202,844,0.735
13864,2300,305,0.265
13865,2202,97,0.015
13865,2203,6274,0.985
13901,2201,9186,0.465
13901,2202,10587,0.535
13902,2201,6177,1
13903,2201,12318,0.657
13903,2202,6445,0.343
13904,2201,6079,0.635
13904,2202,2897,0.302
13904,2203,603,0.063
13905,2201,25048,0.894
13905,2202,2978,0.106
14001,1000,394,0.042
14001,1102,590,0.062
14001,1203,8480,0.896
14004,1000,147,0.012
14004,1203,11987,0.944
14004,1300,570,0.045
14005,1000,1986,1
14006,1207,9858,1
14008,1102,1467,1
14009,1300,5058,0.892
14009,2500,614,0.108
14011,1000,660,0.067
14011,1300,9162,0.933
14012,1102,2362,1
14013,1000,1724,0.985
14013,1203,27,0.015
14020,1000,23306,1
14024,1300,1637,0.97
14024,2500,51,0.03
14025,1207,3039,1
14026,1203,674,1
14028,1102,1595,1
14030,1207,1491,0.825
14030,1300,24,0.013
14030,2500,292,0.162
14031,1203,9392,1
14032,1203,7989,1
14033,1207,2219,1
14034,1207,2742,1
14035,1207,125,1
14036,1000,5201,1
14037,1203,126,0.108
14037,1207,32,0.027
14037,1300,1008,0.864
14039,1300,101,1
14040,1000,1858,0.838
14040,1300,359,0.162
14041,2500,237,1
14042,2500,3969,1
14043,1203,9034,0.365
14043,1204,15708,0.635
14047,1207,6440,1
14048,2600,15072,1
14051,1202,13521,0.692
14051,1203,6012,0.308
14052,1203,4435,0.256
14052,1207,12894,0.744
14054,1000,1319,0.981
14054,1300,25,0.019
14055,1207,1405,1
14057,1207,8116,1
14058,1000,2285,1
14059,1203,8933,1
14060,2500,443,1
14061,1207,349,1
14062,2600,3329,1
14063,2600,14870,1
14065,2500,1896,1
14066,1300,1318,1
14067,1102,5040,1
14068,1202,7150,1
14069,1207,844,1
14070,1207,3818,0.567
14070,2500,2914,0.433
14072,1201,20374,1
14075,1207,41937,1
14080,1207,4330,1
14081,1207,2035,0.658
14081,2500,67,0.022
14081,2600,993,0.321
14082,1300,426,1
14085,1207,7353,1
14086,1203,31847,1
14091,1207,1079,1
14092,1102,11086,1
14094,1101,66,0.001
14094,1102,50600,0.999
14098,1000,2958,1
14101,2500,1905,1
14102,1203,1281,1
14103,1000,11183,1
14105,1000,277,0.061
14105,1102,4289,0.939
14108,1102,5882,1
14109,1102,1117,1
14111,1207,3352,1
14112,1207,85,1
14113,1300,703,1
14120,1101,41823,0.927
14120,1102,3277,0.073
14125,1000,3782,1
14126,1102,588,1
14127,1203,291,0.01
14127,1207,29670,0.99
14129,2500,1591,1
14130,1300,265,1
14131,1102,5283,1
14132,1101,1415,0.228
14132,1102,4803,0.772
14134,1207,104,1
14135,2600,119,1
14136,2600,5033,1
14138,2500,1471,0.729
14138,2600,547,0.271
14139,1207,2125,1
14141,1207,7352,0.951
14141,2500,376,0.049
14143,1000,1214,1
14145,1207,48,0.03
14145,1300,1570,0.97
14150,1201,41676,1
14167,1300,1663,1
14168,2500,36,1
14169,1207,151,1
14170,1207,2286,1
14171,2500,2077,1
14172,1102,3200,1
14173,2500,396,1
14174,1102,5794,1
14201,1206,11549,1
14202,1205,1285,0.329
14202,1206,2626,0.671
14203,1205,1618,1
14204,1205,8691,1
14206,1204,5491,0.265
14206,1205,15260,0.735
14207,1201,886,0.038
14207,1206,22666,0.962
14208,1205,10911,0.981
14208,1206,214,0.019
14209,1205,2208,0.279
14209,1206,5718,0.721
14210,1204,1651,0.112
14210,1205,13043,0.888
14211,1204,2930,0.13
14211,1205,19681,0.87
14212,1204,3253,0.306
14212,1205,7388,0.694
14213,1206,24465,1
14214,1205,7829,0.396
14214,1206,11946,0.604
14215,1204,4912,0.123
14215,1205,35046,0.876
14215,1206,41,0.001
14216,1206,22431,1
14217,1201,23480,1
14218,1204,18655,0.98
14218,1205,38,0.002
14218,1207,346,0.018
14219,1204,587,0.051
14219,1207,10949,0.949
14220,1204,1745,0.072
14220,1205,22482,0.928
14221,1202,45631,0.852
14221,1203,7906,0.148
14221,1204,18,0
14222,1206,14046,1
14223,1201,22655,1
14223,1206,10,0
14224,1204,39662,0.994
14224,1207,227,0.006
14225,1202,240,0.007
14225,1204,33027,0.989
14225,1205,118,0.004
14226,1202,29254,1
14226,1204,13,0
14227,1204,23426,1
14228,1202,20857,1
14261,1202,5713,1
14301,1101,12817,1
14302,1101,107,1
14303,1101,5981,1
14304,1101,29752,0.979
14304,1102,637,0.021
14305,1101,16295,0.964
14305,1102,603,0.036
14411,1000,14491,1
14414,906,18,0.003
14414,1300,7124,0.997
14415,1400,132,1
14416,905,198,0.052
14416,1000,3619,0.948
14418,1400,1195,0.902
14418,2402,130,0.098
14420,905,19947,0.975
14420,1000,520,0.025
14422,1000,2468,1
14423,1300,4799,1
14424,1400,27007,1
14425,1400,10717,1
14427,1300,1964,1
14428,905,8096,1
14432,1400,5726,1
14433,800,4629,1
14435,1300,2941,1
14437,1300,10591,0.928
14437,2402,824,0.072
14441,1400,325,1
14445,906,8019,1
14450,800,22,0.001
14450,901,1686,0.041
14450,906,39396,0.958
14454,1300,11073,1
14456,800,1305,0.065
14456,1400,18782,0.935
14462,1300,655,1
14464,905,7382,0.981
14464,1000,142,0.019
14466,1300,751,0.437
14466,1400,968,0.563
14467,906,9105,1
14468,904,3409,0.191
14468,905,14404,0.809
14469,1400,6220,1
14470,905,181,0.023
14470,1000,7835,0.977
14471,1300,3,0.001
14471,1400,2669,0.999
14472,906,7781,0.905
14472,1300,465,0.054
14472,1400,352,0.041
14475,1400,234,1
14476,905,132,0.058
14476,1000,2156,0.942
14477,1000,1732,1
14478,1400,1595,1
14479,1000,275,1
14480,1300,833,1
14481,1300,1820,1
14482,905,40,0.005
14482,1000,8119,0.981
14482,1300,116,0.014
14485,1300,4075,0.955
14485,1400,192,0.045
14486,1300,308,1
14487,1300,5663,0.94
14487,1400,362,0.06
14489,800,7064,0.982
14489,1400,128,0.018
14502,800,10510,0.983
14502,901,52,0.005
14502,906,129,0.012
14504,1400,1701,1
14505,800,5393,1
14506,906,1325,1
14507,1400,1351,1
14510,1300,4895,1
14511,905,497,1
14512,1400,4456,0.944
14512,2402,265,0.056
14513,800,13651,0.977
14513,1400,325,0.023
14514,905,6389,1
14516,800,2365,1
14517,1300,2883,1
14519,800,11288,0.975
14519,901,293,0.025
14521,800,2761,1
14522,800,8653,0.905
14522,1400,912,0.095
14525,1000,2003,0.699
14525,1300,862,0.301
14526,901,17802,0.899
14526,906,2002,0.101
14527,1400,12820,1
14529,2402,67,1
14530,1300,5575,1
14532,800,218,0.049
14532,1400,4213,0.951
14533,1300,2000,1
14534,906,31050,0.988
14534,1400,376,0.012
14536,1300,502,0.731
14536,2500,185,0.269
14537,1400,207,1
14539,1300,242,1
14541,800,4129,1
14542,800,97,1
14543,906,3152,1
14544,1400,2101,1
14545,1300,173,1
14546,905,4695,1
14548,1400,4249,1
14549,1300,91,1
14550,1300,1537,1
14551,800,5651,1
14555,800,974,1
14559,904,831,0.046
14559,905,17226,0.954
14560,1300,1322,0.611
14560,1400,842,0.389
14561,1400,3086,1
14564,906,212,0.015
14564,1400,14275,0.985
14568,800,6048,1
14569,1300,6211,1
14571,1000,1176,1
14572,1300,946,0.186
14572,2402,4135,0.814
14580,800,75,0.001
14580,901,50512,0.999
14585,1400,120,1
14586,906,10256,1
14588,800,749,1
14589,800,7854,1
14590,800,5446,1
14591,1000,132,0.076
14591,1300,1616,0.924
14592,1300,110,1
14604,903,1743,1
14605,902,11987,0.951
14605,903,623,0.049
14606,903,11533,0.408
14606,904,16722,0.592
14607,902,15431,0.951
14607,903,792,0.049
14608,903,12268,1
14609,901,14174,0.333
14609,902,28188,0.662
14609,906,209,0.005
14610,902,8038,0.565
14610,906,6195,0.435
14611,903,17396,1
14612,903,8112,0.235
14612,904,26403,0.765
14613,903,14730,1
14614,903,1224,1
14615,903,8697,0.54
14615,904,7402,0.46
14616,903,863,0.03
14616,904,27671,0.97
14617,901,22789,1
14618,902,148,0.006
14618,906,22772,0.994
14619,903,14749,1
14620,902,13281,0.528
14620,903,7253,0.288
14620,906,4607,0.183
14621,901,2670,0.079
14621,902,31132,0.921
14622,901,12108,1
14623,905,978,0.036
14623,906,26195,0.964
14624,904,12105,0.334
14624,905,24191,0.666
14625,901,8536,0.822
14625,906,1851,0.178
14626,904,29952,0.997
14626,905,89,0.003
14627,903,2320,1
14701,2600,40730,1
14706,2500,6356,1
14707,2500,239,1
14708,2500,183,1
14709,2500,1535,1
14710,2600,3540,1
14711,2500,1766,1
14712,2600,3342,1
14714,2500,487,1
14715,2500,2747,1
14716,2600,3104,1
14717,2500,636,1
14718,2600,2163,1
14719,2500,3497,1
14720,2600,675,1
14721,2500,230,1
14722,2600,153,1
14723,2600,1295,1
14724,2600,2540,1
14726,2500,1852,0.859
14726,2600,304,0.141
14727,2500,5450,1
14728,2600,1031,1
14729,2500,948,1
14731,2500,1576,1
14732,2600,211,1
14733,2600,3833,1
14735,1300,17,0.006
14735,2500,2734,0.994
14736,2600,282,1
14737,2500,4252,1
14738,2500,264,0.072
14738,2600,3387,0.928
14739,2500,2903,1
14740,2600,1431,1
14741,2500,1873,1
14742,2600,314,1
14743,2500,1783,1
14744,2500,2094,1
14747,2500,198,0.087
14747,2600,2091,0.913
14748,2500,746,1
14750,2600,4426,1
14752,2600,169,1
14753,2500,1166,1
14754,2500,667,1
14755,2500,2916,1
14756,2600,110,1
14757,2600,3487,1
14760,2500,18775,1
14767,2600,2088,1
14769,2600,919,1
14770,2500,2963,1
14772,2500,4255,1
14774,2500,151,1
14775,2600,2537,1
14777,2500,667,1
14778,2500,1453,1
14779,2500,6932,1
14781,2600,2225,1
14782,2600,2401,1
14783,2500,320,1
14784,2600,1033,1
14787,2600,5121,1
14788,2500,163,1
14801,2401,147,0.027
14801,2402,5328,0.973
14802,2500,4135,1
14803,2402,71,0.06
14803,2500,1103,0.94
14804,2402,4,0.003
14804,2500,1475,0.997
14805,2402,1100,1
14806,2402,156,0.069
14806,2500,2113,0.931
14807,2402,2507,0.815
14807,2500,569,0.185
14808,2402,591,1
14809,2402,2552,1
14810,2402,12356,1
14812,2402,3478,1
14813,2500,2520,1
14814,2401,1931,1
14815,2402,946,1
14816,2401,445,0.856
14816,2402,75,0.144
14817,2202,105,0.044
14817,2300,2275,0.956
14818,2402,1745,1
14819,2402,733,1
14820,2402,784,1
14821,2402,3314,1
14822,1300,51,0.044
14822,2500,1118,0.956
14823,2402,3754,1
14824,2402,678,1
14825,2401,919,1
14826,2402,2216,1
14827,2401,191,1
14830,2401,17219,0.867
14830,2402,2631,0.133
14836,1300,800,0.793
14836,2500,209,0.207
14837,1400,4486,0.794
14837,2402,1162,0.206
14838,2401,229,0.117
14838,2402,1727,0.883
14839,2402,793,1
14840,2402,3061,1
14841,800,107,0.117
14841,2402,808,0.883
14842,1400,938,1
14843,2402,12989,0.996
14843,2500,54,0.004
14845,2401,17535,0.857
14845,2402,2918,0.143
14846,1300,645,0.814
14846,2500,147,0.186
14847,800,2398,1
14850,2300,63886,1
14853,2300,2755,1
14854,2300,37,1
14855,2402,956,1
14856,2402,215,1
14858,2402,1598,1
14859,2202,716,0.696
14859,2401,284,0.276
14859,2402,29,0.028
14860,800,1039,1
14861,2401,1256,0.895
14861,2402,148,0.105
14864,2402,1307,1
14865,2402,2607,1
14867,2300,5569,1
14869,2402,1378,1
14870,2401,7916,0.806
14870,2402,1905,0.194
14871,2401,4946,0.907
14871,2402,510,0.093
14872,2402,605,1
14873,2402,2448,1
14874,2402,250,1
14877,2402,396,0.988
14877,2500,5,0.012
14878,1400,217,0.278
14878,2402,564,0.722
14879,2402,2398,1
14880,2500,1668,1
14881,2300,192,1
14882,2300,3826,1
14883,2202,3255,0.787
14883,2300,881,0.213
14884,2500,273,1
14885,2402,873,1
14886,800,666,0.099
14886,2300,4367,0.647
14886,2402,1720,0.255
14889,2202,10,0.006
14889,2402,1580,0.994
14891,2402,4149,1
14892,2202,7433,0.908
14892,2401,756,0.092
14893,2402,6,1
14894,2401,1454,1
14895,2500,9616,1
14897,2402,19,0.019
14897,2500,961,0.981
14898,2402,1734,1
14901,2401,16736,1
14903,2401,7567,1
14904,2401,16269,1
14905,2401,9070,1
99999,3806,25,1
